垃	垃
坷	坷
坪	坪
坩	坩
坡	坡
坦	坦
坤	坤
坼	坼
夜	夜
奉	奉
奇	奇
奈	奈
奄	奄
奔	奔
妾	妾
妻	妻
委	委
妹	妹
妮	妮
姑	姑
姆	姆
姐	姐
姍	姗
始	始
姓	姓
姊	姊
妯	妯
妳	你
姒	姒
孟	孟
孤	孤
季	季
宗	宗
定	定
官	官
宜	宜
宙	宙
宛	宛
尚	尚
屈	屈
居	居
屆	届
岷	岷
岡	冈
岸	岸
岩	岩
岫	岫
岱	岱
岳	岳
帘	帘
帚	帚
帖	帖
帕	帕
帛	帛
帑	帑
幸	幸
庚	庚
店	店
府	府
底	底
庖	庖
延	延
弦	弦
弧	弧
弩	弩
往	往
征	征
彿	佛
彼	彼
忝	忝
忠	忠
忽	忽
念	念
忿	忿
怏	怏
怔	怔
怯	怯
怵	怵
怖	怖
怪	怪
怕	怕
怡	怡
性	性
或	或
戕	戕
房	房
戾	戾
所	所
承	承
拉	拉
拌	拌
拄	拄
抿	抿
拂	拂
抹	抹
拒	拒
招	招
披	披
拓	拓
拔	拔
拋	抛
拈	拈
抨	抨
抽	抽
押	押
拐	拐
拙	拙
拇	拇
拍	拍
抵	抵
拚	拚
抱	抱
拘	拘
拖	拖
拗	拗
拆	拆
抬	抬
拎	拎
放	放
斧	斧
於	於
旺	旺
昔	昔
易	易
昌	昌
昆	昆
昂	昂
明	明
昀	昀
昏	昏
服	服
朋	朋
杭	杭
枋	枋
枕	枕
東	东
果	果
杳	杳
杷	杷
枇	枇
枝	枝
林	林
杯	杯
杰	杰
板	板
枉	枉
松	松
析	析
杵	杵
枚	枚
欣	欣
武	武
歧	歧
歿	殁
毒	毒
氓	氓
氛	氛
泣	泣
注	注
泳	泳
沱	沱
泌	泌
泥	泥
河	河
沽	沽
沾	沾
沼	沼
波	波
沫	沫
法	法
泓	泓
沸	沸
泄	泄
油	油
況	况
沮	沮
泗	泗
泅	泅
泱	泱
沿	沿
治	治
泡	泡
泛	泛
泊	泊
炕	炕
炎	炎
炒	炒
炊	炊
炙	炙
爬	爬
爭	争
爸	爸
版	版
牧	牧
物	物
狀	状
狎	狎
狙	狙
狗	狗
狐	狐
玩	玩
玨	珏
玟	玟
玫	玫
甽	甽
疝	疝
疙	疙
疚	疚
的	的
盂	盂
盲	盲
直	直
知	知
矽	矽
社	社
祀	祀
祁	祁
秉	秉
空	空
穹	穹
竺	竺
糾	纠
罔	罔
羌	羌
羋	芈
者	者
肺	肺
肥	肥
肢	肢
肱	肱
股	股
肫	肫
肩	肩
肴	肴
肪	肪
肯	肯
臥	卧
臾	臾
舍	舍
芳	芳
芝	芝
芙	芙
芭	芭
芽	芽
芟	芟
芹	芹
花	花
芬	芬
芥	芥
虎	虎
虱	虱
初	初
表	表
軋	轧
迎	迎
返	返
近	近
邵	邵
邸	邸
邱	邱
采	采
金	金
長	长
門	门
阜	阜
陀	陀
阿	阿
阻	阻
附	附
雨	雨
青	青
非	非
亟	亟
亭	亭
亮	亮
信	信
侵	侵
侯	侯
便	便
俠	侠
俑	俑
俏	俏
保	保
促	促
侶	侣
俘	俘
俟	俟
俊	俊
俗	俗
侮	侮
俐	俐
俄	俄
係	系
俚	俚
俎	俎
俞	俞
兗	兖
冒	冒
冑	冑
冠	冠
剎	剎
剃	剃
削	削
前	前
剌	剌
剋	克
則	则
勇	勇
勉	勉
勃	勃
勁	劲
匍	匍
南	南
卻	却
厚	厚
叛	叛
咬	咬
哀	哀
咨	咨
哎	哎
哉	哉
咸	咸
咦	咦
咳	咳
哇	哇
哂	哂
咽	咽
咪	咪
品	品
哄	哄
哈	哈
咯	咯
咫	咫
咱	咱
咻	咻
垂	垂
型	型
垠	垠
垣	垣
垢	垢
城	城
垮	垮
奕	奕
契	契
奏	奏
奎	奎
奐	奂
姜	姜
姘	姘
姿	姿
姣	姣
姨	姨
娃	娃
姥	姥
姪	侄
姚	姚
姦	奸
威	威
姻	姻
孩	孩
宣	宣
宦	宦
室	室
客	客
宥	宥
封	封
屎	屎
屏	屏
屍	尸
屋	屋
峙	峙
巷	巷
帝	帝
帥	帅
幽	幽
庠	庠
度	度
建	建
弈	弈
弭	弭
彥	彦
很	很
待	待
徊	徊
律	律
徇	徇
後	后
怒	怒
思	思
怠	怠
急	急
怎	怎
怨	怨
恍	恍
恰	恰
恨	恨
恢	恢
恆	恒
恃	恃
恬	恬
恫	恫
恪	恪
恤	恤
扁	扁
拜	拜
挖	挖
按	按
拼	拼
拭	拭
持	持
拮	拮
拽	拽
指	指
拱	拱
拷	拷
拯	拯
括	括
拾	拾
拴	拴
挑	挑
政	政
故	故
斫	斫
施	施
既	既
春	春
昭	昭
映	映
昧	昧
是	是
星	星
昨	昨
曷	曷
柿	柿
染	染
柱	柱
柔	柔
某	某
柬	柬
架	架
枯	枯
柵	栅
柩	柩
柯	柯
柄	柄
柑	柑
枴	拐
柚	柚
查	查
枸	枸
柏	柏
柞	柞
柳	柳
歪	歪
殃	殃
殆	殆
段	段
毗	毗
氟	氟
泉	泉
洋	洋
洲	洲
洪	洪
流	流
津	津
洌	洌
洱	洱
洞	洞
洗	洗
活	活
洽	洽
派	派
洶	汹
洛	洛
炫	炫
為	为
炳	炳
炬	炬
炯	炯
炭	炭
炸	炸
炮	炮
爰	爰
牲	牲
牯	牯
牴	抵
狩	狩
狠	狠
狡	狡
玷	玷
珊	珊
玻	玻
玲	玲
珍	珍
珀	珀
玳	玳
甚	甚
甭	甭
畏	畏
界	界
疫	疫
疤	疤
疥	疥
癸	癸
皆	皆
皇	皇
皈	皈
盈	盈
盆	盆
盃	杯
省	省
盹	盹
相	相
眉	眉
看	看
盾	盾
盼	盼
矜	矜
砂	砂
研	研
砌	砌
砍	砍
祆	祆
祉	祉
祈	祈
祇	祇
禹	禹
科	科
秒	秒
秋	秋
穿	穿
突	突
竿	竿
竽	竽
紂	纣
紅	红
紀	纪
紉	纫
紇	纥
約	约
缸	缸
美	美
羿	羿
耐	耐
耍	耍
耶	耶
胖	胖
胥	胥
胚	胚
胃	胃
胄	胄
背	背
胡	胡
胛	胛
胎	胎
胞	胞
胤	胤
致	致
舢	舢
苧	苎
范	范
茅	茅
苣	苣
苛	苛
苦	苦
茄	茄
若	若
茂	茂
茉	茉
苒	苒
苗	苗
英	英
茁	茁
苜	苜
苔	苔
苑	苑
苞	苞
苓	苓
苟	苟
虐	虐
虹	虹
衍	衍
衫	衫
要	要
計	计
訂	订
訃	讣
貞	贞
負	负
赴	赴
赳	赳
趴	趴
軍	军
軌	轨
述	述
迦	迦
迢	迢
迪	迪
迥	迥
迭	迭
迫	迫
郊	郊
郎	郎
郁	郁
酋	酋
酊	酊
重	重
閂	闩
限	限
陋	陋
陌	陌
降	降
面	面
革	革
韋	韦
韭	韭
音	音
頁	页
風	风
飛	飞
食	食
首	首
香	香
乘	乘
倌	倌
倍	倍
倣	仿
俯	俯
倦	倦
倥	倥
俸	俸
倩	倩
倖	幸
倆	俩
值	值
借	借
倚	倚
倒	倒
們	们
俺	俺
倀	伥
倔	倔
倨	倨
俱	俱
倡	倡
個	个
候	候
倘	倘
俳	俳
修	修
倭	倭
倪	倪
俾	俾
倫	伦
倉	仓
兼	兼
冤	冤
冥	冥
冢	冢
凍	冻
凌	凌
准	准
凋	凋
剖	剖
剜	剜
剔	剔
剛	刚
剝	剥
匪	匪
卿	卿
原	原
厝	厝
叟	叟
哨	哨
唐	唐
唁	唁
唷	唷
哼	哼
哥	哥
哲	哲
唆	唆
哺	哺
唔	唔
哩	哩
哭	哭
員	员
唉	唉
哮	哮
哪	哪
哦	哦
唧	唧
圃	圃
埂	埂
埔	埔
埋	埋
埃	埃
夏	夏
套	套
奘	奘
奚	奚
娑	娑
娘	娘
娜	娜
娟	娟
娛	娱
娓	娓
姬	姬
娠	娠
娣	娣
娩	娩
娥	娥
娌	娌
孫	孙
宰	宰
害	害
家	家
宴	宴
宮	宫
宵	宵
容	容
宸	宸
射	射
屑	屑
展	展
屐	屐
峭	峭
峽	峡
峻	峻
峪	峪
峨	峨
峰	峰
島	岛
崁	崁
差	差
席	席
師	师
庫	库
庭	庭
座	座
弱	弱
徒	徒
徑	径
徐	徐
恙	恙
恣	恣
恥	耻
恐	恐
恕	恕
恭	恭
恩	恩
息	息
悄	悄
悟	悟
悚	悚
悍	悍
悔	悔
悌	悌
悅	悦
悖	悖
扇	扇
拳	拳
挈	挈
拿	拿
捎	捎
挾	挟
振	振
捕	捕
捂	捂
捆	捆
捏	捏
捉	捉
挺	挺
捐	捐
挽	挽
挪	挪
挫	挫
挨	挨
效	效
料	料
旁	旁
旅	旅
時	时
晉	晋
晏	晏
晃	晃
晒	晒
晌	晌
書	书
朔	朔
朕	朕
朗	朗
校	校
核	核
案	案
框	框
桓	桓
根	根
桂	桂
桔	桔
栩	栩
梳	梳
栗	栗
桌	桌
桑	桑
栽	栽
柴	柴
桐	桐
桀	桀
格	格
桃	桃
株	株
桅	桅
栓	栓
殊	殊
殉	殉
殷	殷
氣	气
氧	氧
氨	氨
氦	氦
氤	氤
泰	泰
浪	浪
涕	涕
消	消
涇	泾
浦	浦
浸	浸
海	海
浙	浙
涓	涓
浬	浬
涉	涉
浮	浮
浚	浚
浴	浴
浩	浩
烊	烊
烘	烘
烤	烤
烙	烙
烈	烈
烏	乌
爹	爹
特	特
狼	狼
狹	狭
狽	狈
狸	狸
狷	狷
班	班
琉	琉
珮	佩
珠	珠
畔	畔
畝	亩
畜	畜
畚	畚
留	留
疾	疾
病	病
症	症
疲	疲
疳	疳
疽	疽
疼	疼
疹	疹
皰	疱
益	益
盍	盍
盎	盎
眩	眩
真	真
眠	眠
眨	眨
矩	矩
砰	砰
砧	砧
砸	砸
砝	砝
破	破
砷	砷
砥	砥
砭	砭
祕	祕
祐	祐
祠	祠
祟	祟
祖	祖
神	神
祝	祝
祗	祗
祚	祚
秤	秤
秣	秣
秧	秧
租	租
秦	秦
秩	秩
窄	窄
窈	窈
站	站
笆	笆
笑	笑
粉	粉
紡	纺
紗	纱
紋	纹
紊	紊
素	素
索	索
純	纯
紐	纽
紕	纰
級	级
紜	纭
納	纳
紙	纸
紛	纷
缺	缺
罟	罟
羔	羔
翅	翅
翁	翁
耆	耆
耘	耘
耕	耕
耙	耙
耗	耗
耽	耽
耿	耿
胱	胱
脂	脂
胰	胰
脅	胁
胭	胭
胴	胴
脆	脆
胸	胸
胳	胳
脈	脉
能	能
脊	脊
臭	臭
臬	臬
舀	舀
舐	舐
航	航
舫	舫
舨	舨
般	般
芻	刍
茫	茫
荒	荒
荔	荔
荊	荆
茸	茸
荐	荐
草	草
茵	茵
茴	茴
荏	荏
茲	兹
茹	茹
茶	茶
茗	茗
荀	荀
茱	茱
虔	虔
蚊	蚊
蚪	蚪
蚓	蚓
蚤	蚤
蚩	蚩
蚌	蚌
蚣	蚣
衰	衰
衷	衷
袁	袁
袂	袂
記	记
訐	讦
討	讨
訌	讧
訕	讪
訊	讯
託	托
訓	训
訖	讫
豈	岂
豺	豺
豹	豹
財	财
貢	贡
起	起
躬	躬
軒	轩
軔	轫
辱	辱
送	送
逆	逆
迷	迷
退	退
迺	乃
迴	回
逃	逃
追	追
逅	逅
邕	邕
郡	郡
酒	酒
配	配
酌	酌
釘	钉
針	针
釗	钊
釜	釜
閃	闪
院	院
陣	阵
陡	陡
陛	陛
陝	陕
除	除
隻	只
飢	饥
馬	马
骨	骨
高	高
鬥	斗
鬲	鬲
鬼	鬼
乾	干
偺	咱
偽	伪
停	停
假	假
偃	偃
偌	偌
做	做
偉	伟
健	健
偶	偶
偎	偎
偕	偕
偵	侦
側	侧
偷	偷
偏	偏
倏	倏
兜	兜
冕	冕
凰	凰
剪	剪
副	副
勒	勒
務	务
勘	勘
動	动
匐	匐
匏	匏
匙	匙
匿	匿
區	区
匾	匾
參	参
曼	曼
商	商
啪	啪
啦	啦
啄	啄
啞	哑
